City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,itaqui,-29.1253,-56.5531,84.34,28,0,7.96,BR,1675299235
84,bambanglipuro,-7.95,110.2833,76.77,86,100,2.68,ID,1675299235
85,leshukonskoye,64.8989,45.7622,21.99,95,100,6.31,RU,1675298610
86,price,39.5994,-110.8107,25.86,42,0,3.44,US,1675299236
87,mount gambier,-37.8333,140.7667,55.56,89,100,14.38,AU,1675298833
88,tiksi,71.6872,128.8694,-16.53,99,100,8.77,RU,1675298526
89,bonthe,7.5264,-12.505,77.13,87,0,4.41,SL,1675299237
90,praia da vitoria,38.7333,-27.0667,54.75,100,20,1.57,PT,1675299237
91,norman wells,65.282,-126.8329,-30.96,75,40,2.3,CA,1675298851
92,esna,25.2934,32.554,51.82,49,2,7.81,EG,1675299238
93,mahebourg,-20.4081,57.7,77.29,88,40,3.44,MU,1675299238
94,thompson,55.7435,-97.8558,-20.04,69,40,11.5,CA,1675299239
95,axim,4.8699,-2.2405,78.37,90,0,5.06,GH,1675299239
96,bilibino,68.0546,166.4372,-3.48,100,100,2.82,RU,1675299240
97,jamestown,42.097,-79.2353,20.79,76,0,6.91,US,1675299240
98,kapaa,22.0752,-159.319,80.92,77,0,9.22,US,1675299240
99,cidreira,-30.1811,-50.2056,75.65,89,0,7.09,BR,1675298666
100,puerto madryn,-42.7692,-65.0385,65.88,70,56,20.33,AR,1675299061
101,bluff,-46.6,168.3333,69.84,75,55,6.98,NZ,1675299241
102,bo phloi,14.3236,99.5161,75.25,42,86,1.45,TH,1675299242
103,venado tuerto,-33.7456,-61.9688,65.21,95,100,17.02,AR,1675299244
104,vao,-22.6667,167.4833,79.9,77,22,6.24,NC,1675298629
105,tabou,4.423,-7.3528,79.14,88,5,6.76,CI,1675298695
106,phulabani,20.4667,84.2333,55.92,34,14,2.51,IN,1675299246
107,zonguldak,41.25,31.8333,29.07,84,98,5.28,TR,1675299247
108,laguna,38.421,-121.4238,55.69,50,0,5.75,US,1675299248
109,magnitogorsk,53.4186,59.0472,-6.23,77,100,0.0,RU,1675299248
110,barabinsk,55.3571,78.357,-12.05,99,5,3.02,RU,1675299249
111,saint george,37.1041,-113.5841,48.79,25,0,0.0,US,1675299251
112,kawalu,-7.3817,108.2082,75.38,84,100,1.54,ID,1675299251
113,khatanga,71.9667,102.5,-24.16,95,100,5.28,RU,1675299252
114,de-kastri,51.4667,140.7833,-2.38,89,99,6.11,RU,1675299252
115,xuzhou,34.1805,117.1571,32.58,34,100,9.01,CN,1675299253
